2022-05-19 16:01:29.574  INFO [PensionDisburesmentService,,] 23536 --- [restartedMain] nsionDisbursementMicroserviceApplication : Starting PensionDisbursementMicroserviceApplication using Java 11.0.14 on LAPTOP-IDG27ARQ with PID 23536 (C:\Users\kavya\OneDrive\Desktop\PensionManagementSystem-master\pension-disbursement-microservice\target\classes started by kavya in C:\Users\kavya\OneDrive\Desktop\PensionManagementSystem-master\pension-disbursement-microservice)
2022-05-19 16:01:29.589  INFO [PensionDisburesmentService,,] 23536 --- [restartedMain] nsionDisbursementMicroserviceApplication : No active profile set, falling back to default profiles: default
2022-05-19 16:01:29.720  INFO [PensionDisburesmentService,,] 23536 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-05-19 16:01:29.721  INFO [PensionDisburesmentService,,] 23536 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-05-19 16:01:31.388  INFO [PensionDisburesmentService,,] 23536 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-05-19 16:01:31.453  INFO [PensionDisburesmentService,,] 23536 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 50 ms. Found 0 JPA repository interfaces.
2022-05-19 16:01:32.085  INFO [PensionDisburesmentService,,] 23536 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=5c3759df-218f-38ad-b0df-eaad1930406b
2022-05-19 16:01:33.743  INFO [PensionDisburesmentService,,] 23536 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 9083 (http)
2022-05-19 16:01:33.761  INFO [PensionDisburesmentService,,] 23536 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-05-19 16:01:33.762  INFO [PensionDisburesmentService,,] 23536 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.50]
2022-05-19 16:01:33.974  INFO [PensionDisburesmentService,,] 23536 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2022-05-19 16:01:33.974  INFO [PensionDisburesmentService,,] 23536 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 4252 ms
2022-05-19 16:01:34.069  INFO [PensionDisburesmentService,,] 23536 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2022-05-19 16:01:34.320  INFO [PensionDisburesmentService,,] 23536 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2022-05-19 16:01:34.328  INFO [PensionDisburesmentService,,] 23536 --- [restartedMain] o.s.b.a.h2.H2ConsoleAutoConfiguration    : H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:1e03e19e-1c85-4d81-93db-0ee87817e02f'
2022-05-19 16:01:35.317  WARN [PensionDisburesmentService,,] 23536 --- [restartedMain] o.s.c.s.a.z.ZipkinAutoConfiguration      : Check result of the [RestTemplateSender{http://localhost:9411/api/v2/spans}] contains an error [CheckResult{ok=false, error=org.springframework.web.client.ResourceAccessException: I/O error on POST request for "http://localhost:9411/api/v2/spans": connect timed out; nested exception is java.net.SocketTimeoutException: connect timed out}]
2022-05-19 16:01:35.908  INFO [PensionDisburesmentService,,] 23536 --- [restartedMain] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2022-05-19 16:01:35.992  INFO [PensionDisburesmentService,,] 23536 --- [restartedMain] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 5.4.32.Final
2022-05-19 16:01:36.235  INFO [PensionDisburesmentService,,] 23536 --- [restartedMain] o.hibernate.annotations.common.Version   : HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2022-05-19 16:01:36.450  INFO [PensionDisburesmentService,,] 23536 --- [restartedMain] org.hibernate.dialect.Dialect            : HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2022-05-19 16:01:36.807  INFO [PensionDisburesmentService,,] 23536 --- [restartedMain] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-05-19 16:01:36.821  INFO [PensionDisburesmentService,,] 23536 --- [restartedMain] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-05-19 16:01:36.878  WARN [PensionDisburesmentService,,] 23536 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : Unable to start LiveReload server
2022-05-19 16:01:37.097  WARN [PensionDisburesmentService,,] 23536 --- [restartedMain] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2022-05-19 16:01:39.734  INFO [PensionDisburesmentService,,] 23536 --- [restartedMain] o.s.cloud.commons.util.InetUtils         : Cannot determine local hostname
2022-05-19 16:01:40.198  INFO [PensionDisburesmentService,,] 23536 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 9083 (http) with context path ''
2022-05-19 16:01:41.511  INFO [PensionDisburesmentService,,] 23536 --- [restartedMain] o.s.cloud.commons.util.InetUtils         : Cannot determine local hostname
2022-05-19 16:01:41.512  INFO [PensionDisburesmentService,,] 23536 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Context refreshed
2022-05-19 16:01:41.537  INFO [PensionDisburesmentService,,] 23536 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Found 1 custom documentation plugin(s)
2022-05-19 16:01:41.550  INFO [PensionDisburesmentService,,] 23536 --- [restartedMain] s.d.s.w.s.ApiListingReferenceScanner     : Scanning for api listing references
2022-05-19 16:01:41.735  INFO [PensionDisburesmentService,,] 23536 --- [restartedMain] nsionDisbursementMicroserviceApplication : Started PensionDisbursementMicroserviceApplication in 14.694 seconds (JVM running for 15.655)
2022-05-19 16:43:57.981  INFO [PensionDisburesmentService,,] 23536 --- [http-nio-9083-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-05-19 16:43:57.991  INFO [PensionDisburesmentService,,] 23536 --- [http-nio-9083-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
