2022-05-19 16:02:19.469  INFO [PensionerDetailService,,] 17668 --- [restartedMain] c.PensionerDetailMicroserviceApplication : Starting PensionerDetailMicroserviceApplication using Java 11.0.14 on LAPTOP-IDG27ARQ with PID 17668 (C:\Users\kavya\OneDrive\Desktop\PensionManagementSystem-master\pensioner-detail-microservice\target\classes started by kavya in C:\Users\kavya\OneDrive\Desktop\PensionManagementSystem-master\pensioner-detail-microservice)
2022-05-19 16:02:19.535  INFO [PensionerDetailService,,] 17668 --- [restartedMain] c.PensionerDetailMicroserviceApplication : No active profile set, falling back to default profiles: default
2022-05-19 16:02:19.701  INFO [PensionerDetailService,,] 17668 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-05-19 16:02:19.701  INFO [PensionerDetailService,,] 17668 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-05-19 16:02:23.773  INFO [PensionerDetailService,,] 17668 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-05-19 16:02:24.409  INFO [PensionerDetailService,,] 17668 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 618 ms. Found 1 JPA repository interfaces.
2022-05-19 16:02:26.036  INFO [PensionerDetailService,,] 17668 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=85095809-9643-344a-ba36-0073e376c2c7
2022-05-19 16:02:28.243  INFO [PensionerDetailService,,] 17668 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 9081 (http)
2022-05-19 16:02:28.259  INFO [PensionerDetailService,,] 17668 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-05-19 16:02:28.260  INFO [PensionerDetailService,,] 17668 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.50]
2022-05-19 16:02:28.708  INFO [PensionerDetailService,,] 17668 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2022-05-19 16:02:28.709  INFO [PensionerDetailService,,] 17668 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 9006 ms
2022-05-19 16:02:28.903  INFO [PensionerDetailService,,] 17668 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2022-05-19 16:02:29.241  INFO [PensionerDetailService,,] 17668 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2022-05-19 16:02:29.254  INFO [PensionerDetailService,,] 17668 --- [restartedMain] o.s.b.a.h2.H2ConsoleAutoConfiguration    : H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testDB'
2022-05-19 16:02:31.170  WARN [PensionerDetailService,,] 17668 --- [restartedMain] o.s.c.s.a.z.ZipkinAutoConfiguration      : Check result of the [RestTemplateSender{http://localhost:9411/api/v2/spans}] contains an error [CheckResult{ok=false, error=java.util.concurrent.TimeoutException: RestTemplateSender{http://localhost:9411/api/v2/spans} check() timed out after 1000ms}]
2022-05-19 16:02:33.041  INFO [PensionerDetailService,,] 17668 --- [restartedMain] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
